Date,4101,4012,4001,4302,4102,4303,4103,4104,4090,4106,4005,4306,4019,4309,4028,4023,4311,4103-2,4309-2
1981-08-01,25.9,19,1.2,12,20.4,19.1,1.8,18.5,25.4,64.2,18.7,21.1,9,23.6,1.5,22,2.1,4.1,38.5
1981-09-01,14.9,78.5,3,13.5,14.1,34.5,12.4,29.5,51.3,39.1,3.2,21.5,9,22.9,10.2,24,2,28.9,37.5
1981-10-01,12.5,21.3,0,8.8,54.8,27.1,8.4,4,2.9,56,0.1,14.8,0,19,0,2,0,19.7,31
1981-11-01,12.2,11,9,12.5,24.9,35.8,32.7,27,28.4,58.2,31.5,17.7,7.2,32.7,4.5,0,0,76.4,53.5
1981-12-01,119.1,77,125.5,54,69.7,73.1,58.6,79.5,63.3,85,91.7,59,59,53.1,72.5,56,27,137.2,86.7
1982-01-01,195.9,122.7,146.9,156,157.8,103.9,144,132.4,57.9,169.2,100.3,72,112,115.7,86.9,61,116.5,337,189
1982-02-01,16.7,50,7,57.6,25.1,78.2,57.2,69.4,38.9,59.2,27.7,62.3,41,55.7,28.4,33.2,29,133.9,91
1982-03-01,80.6,130.9,0,68.5,65.2,78.7,27.7,86.2,78.9,141.7,67,33.3,38,86,42.3,76,41.5,64.9,140.5
1982-04-01,40.7,6,0,22.6,33.4,37.9,2.7,6.2,2.2,31.2,8.3,6,17,30.6,3.5,19,13,6.4,50
1982-05-01,0,0,0,0.2,0,1.7,0.2,1,1.3,2.3,0,0,0,0,0,0,0,0.4,0
1982-06-01,0,0,0,0,2.1,0,0,2,0,7.2,0,0,0,0,0,0,0,0,0
1982-07-01,0,0,0,0,0.9,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0
1982-08-01,0,0,0,3.9,5.3,0,0,0,1,5.1,0,0,0,0,0,0,4,0,0
1982-09-01,33.3,45.4,13.3,18.6,35,32.8,9.2,21.2,29,27.4,5.6,26.1,0,7,8.5,19,9,21.6,11.5
1982-10-01,57.7,5,17.2,27.6,35.5,44.8,14.6,14.7,5.3,39.5,23,11,25,133.4,23.6,91,0,34.1,218
1982-11-01,19,48.1,1.3,15.5,44.7,34.6,17.7,48.6,48.2,43.7,3,34.9,8,31,11.5,0,0,41.3,50.7
1982-12-01,10.6,22.4,13,48.2,19,43,4.4,50.7,40.5,31.3,20.9,62.7,9,38,8.5,30.2,26,10.3,62.1
1983-01-01,12,53.7,4.9,22.1,36.7,45.8,10,36.6,30.5,27.5,2.9,23.5,14,23.2,0,7,9.2,23.3,37.9
1983-02-01,44.9,57.2,8,34.5,37.1,81.1,21.6,65.5,43.3,71.6,4.4,33,9,55.2,16,41,11,50.6,90.2
1983-03-01,45,12.7,14,17.3,5.3,26.1,3,5.2,22.2,20.4,4.5,7.8,0,2.3,9.4,23,13,7,3.8
