NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA 39.7 10.5
28.5 110 29.2 NA 0 0 0 0 0 0 92.5 135.5
14.2 34.4 25.5 9.5 0 0 0 0 0 8.3 28.7 102.3
92.3 35.5 25.8 0 0 0 0 0 0 11.9 7.2 38.4
60.5 40 20.3 22 0 0 0 0 0 11.9 11 23
0 4.5 14.8 10 0 0 0 0 0 0 0 21
14 39.1 8 3.5 0 2.9 0 0 0 0 24.5 55.5
99.1 22.5 50 6 0 0 0 0 0 13 8.5 3.5
104 52.9 12.5 0 0 2.4 0 0 0 1.5 34.6 42.9
94.3 69.3 27.6 0 2.1 0 0 19.8 5.5 3.5 NA 58.9
81.9 51.1 13 2 0 0 0 0 1 2.5 8.5 95.5
72.2 NA NA NA NA NA NA NA NA 0 0 48.5
62.5 75.1 7 1.5 0 0 NA 3 0 0 16 44
121.5 67 39 0 0 0 0 NA 21 0 8 4
100.8 20 6.5 0 0 3.5 0 0 0 11.5 35.1 20
39.2 81.9 71.5 0.6 0 0 2 0 7.3 2.5 0 23.9
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA 0 57.2 55.5
130.3 43.3 62.3 15.1 12.5 0 0 0 0 1.5 11 26.7
114.5 23 52.6 0 0 0 0 0 0 0 53.5 40.2
118.8 49.7 22.1 NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA 0 0 8.6 0 31.1 137
236.2 213.4 19.5 6.5 17 0 0 0 10.5 0 0 19.5
79.6 133.7 87.1 24.5 12 0 NA NA NA NA NA NA
NA NA NA NA NA NA 0 0 0 13.1 5.6 225.7
176 173.7 62.1 0 12.4 10 0 15.5 6.5 17.5 0 252.1
466.5 105.2 0 25 0 0 0 15 7.5 34.5 12.5 63.5
194.3 180.3 139.6 35.4 15.5 0 0 0 0 0 0 16.8
127.7 350.9 0 0 0 0 5 0 41.2 0 0 NA
NA NA NA NA NA NA 0 0 0 7.5 15.2 95.2
142.9 185.6 58.6 0 0 12.1 15.6 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
90.6 127.9 56.6 NA NA NA NA NA NA NA NA NA
181.7 91.6 45.7 15.7 6.5 5.3 0 4.8 35.8 19.6 16.9 62.6
138.9 31.5 33.6 19.7 3.3 10 30.2 27 54.7 6.4 7.3 43.5
72.9 70.9 112.2 20.2 19.7 0 16.2 0 35.5 32 58.9 93.6
87.8 102.9 45.3 23.4 0 0 0 23.1 14.2 5.5 71.8 82.2
197.8 64 75.5 31.9 0 1.5 18.4 0.9 12.1 46.2 21.8 122.4
48.8 40.5 91.4 13.1 0 1.4 15.1 18.2 86.4 13.9 22.9 56.6
123.9 112.8 55.9 16.1 7.6 0 0 20.4 14.1 54.8 24.9 69.7
157.8 25.1 65.2 33.4 0 2.1 0.9 5.3 35 35.5 44.7 19
36.7 37.1 5.3 36.4 12.6 2 6.5 36.5 40 18.2 12.7 58.6
207 152.7 97 10.8 NA NA 1.4 9.2 0.6 29.4 55.1 75.9
130 76.5 29.1 48.2 10.8 0 3.4 19.6 35.7 10.8 36 89.7
105.8 64.1 48.7 25.9 9.2 0 0 3.6 13.4 9.2 6.3 113
137.6 21.7 41.1 15.5 1.3 11.7 25.7 2 26.3 45.5 45.8 29.8
105.9 62.1 114.1 38.9 6.9 0 0 0 18.6 45.3 24.4 50.1
70.8 27.2 54.6 29.9 5.4 0 2.9 NA 21.4 2.6 19.6 18.2
70.8 23.1 20.2 26.6 27.3 44.1 0 4.5 1 55.8 33 53.6
94.2 59 34.5 18.7 2.5 21.7 0.8 3.5 13.1 16.5 59.3 42.1
119.7 49 17.4 5.2 0.3 6.2 4.2 15.2 0 54.6 58.3 35.2
133.6 21.7 53.9 24.5 4.7 0.7 0 17.6 26.6 35.4 NA 74.9
59.5 46.1 35 28.1 4.5 0 0 0 2.2 8.2 21.7 66
79.8 54 73.4 9.9 1.9 0.4 0 10.8 22.4 20.5 31.8 113.3
122.3 11.5 21.9 20.2 0.4 2.5 0.4 3.5 25.7 15.7 69 128.3
149.4 78 85.3 20.1 0.7 0 0 19.6 48.2 7.4 21 45.5
72.9 59.7 61 15.6 1.7 25.3 0 6 12.9 41.7 73.6 20.1
76.6 86.1 111 28.2 2.7 0.7 0.8 2.2 40.8 53.9 15.6 35.5
107.7 68.5 66.4 0.6 1.5 16.5 0 16.1 1.9 63.4 10.2 121.2
158.3 122.3 57.1 4.9 1.2 11.8 20.4 14.3 8.2 62.5 17.7 69.7
63.1 58.4 47.6 26.5 3.8 0 40.9 1.7 7.2 44.1 40.8 59.8
102.6 82 52.2 1.5 2.5 0 0 0 0 17.7 6.6 79.4
116.1 24.7 23 29.9 3.4 0 27.3 38.7 5.3 1.5 28.9 26.9
72.5 55.2 24.4 10.5 0 0 0 2 43.9 43.4 55.2 43.1
154.2 52.3 28.6 8.4 0 0 0 5.8 28.1 34.3 63.7 51.6
55.3 57.3 NA 0 5 0 19 3.3 16.3 7 18 41.3
130.1 13.3 18.2 8.5 0 2 0 0 2.3 21.2 18.5 75.7
48.4 88.3 17.1 13.5 0.4 0 0 0 7.2 10 41.7 67
50.8 77.6 18.1 21.7 18.3 0 0 2.8 7.7 37.8 0 49.6
25.1 153.9 65 0 3.8 0 0 0 17.6 5 7.2 57
69.8 76.3 18.1 19.5 0 0 0 1.8 0 2.5 13 44.1
45.3 58.6 10.9 0 13.9 22.1 3 30.3 0 19.5 10 44.3
105.4 25.6 29.1 6.7 8.6 0 2.7 4.8 26.7 9 2.1 39.3
80.8 52.2 40.2 43.6 7.1 0 1.7 21.2 24.3 42.2 50.6 47.8
71.6 88.9 0 32.3 0 17.8 3.2 2.1 3.8 47.3 3.5 56.6
33.9 38 52 22.4 54.3 0 2.9 0 50.2 28 10.5 33.6
77 89.1 17.2 0 0 20.5 22.6 0 1.5 31.3 5.6 57
38.1 97.7 3.7 21.2 1.8 3.8 3.9 0 44.8 28.5 64 9.8
58.9 103.8 53.5 5 0 2 0 0 16.3 19.7 5.5 49.4
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA 0 1.6 13.7 31.7 3.6 33.8 64.1
51.2 94.7 60.1 5.5 4.1 0 0 25.9 11.6 49.1 41.8 106.9
165.5 85.6 52.9 10.3 0 0 0 0 3.2 20.1 23.6 114.8
291.2 41.8 77.9 16.1 0 0 0 0 0 22.2 26.4 95.3
76.4 54.4 51.2 0.9 0 0 5.3 20.9 14.7 62.4 6.4 54.7
125 112.2 52.3 18.8 0 0 0 19.1 34.5 27.1 35.8 73.1
103.9 78.2 78.7 37.9 1.7 0 0 0 32.8 44.8 34.6 43
45.8 81.1 26.1 25.7 0 0.2 3.5 2.1 5.3 13.8 34.5 24.8
234.7 93.4 62.1 28.8 0 1.7 0 0.9 0 44.5 50.5 95.8
